game_date,home_team,away_team,model_prob_home,moneyline_home,moneyline_away,has_edge,bet_side,bet_edge_pct,bet_odds,kelly_frac,expected_value,home_won,result_correct,pnl_per_unit
2023-08-10,IND,MIN,0.4038,136.0,-162.0,False,,,,0.0,,1,,
2023-08-13,IND,NYL,0.2743,500.0,-700.0,False,,,,0.0,,0,,
2023-08-18,IND,WAS,0.3236,140.0,-166.0,False,,,,0.0,,0,,
2023-08-24,IND,SEA,0.4411,-135.0,114.0,False,,,,0.0,,1,,
2023-08-27,IND,ATL,0.3228,-120.0,100.0,False,,,,0.0,,1,,
2023-09-01,IND,DAL,0.5419,205.0,-250.0,False,,,,0.0,,0,,
2023-09-05,IND,CHI,0.4447,105.0,-125.0,False,,,,0.0,,0,,
2023-09-10,IND,MIN,0.2879,110.0,-130.0,True,MIN,16.93,-130.0,3.0,0.2598,1,0.0,-1.0
2023-05-19,LA,PHO,0.2807,-135.0,115.0,False,,,,0.0,,1,,
2023-05-25,LA,LA,0.5557,625.0,-900.0,False,,,,0.0,,0,,
2023-06-03,LA,SEA,0.2418,-245.0,205.0,True,SEA,44.24,205.0,3.0,1.3127,1,0.0,-1.0
2023-06-09,LA,CHI,0.2543,-1700.0,900.0,False,,,,0.0,,1,,
2023-06-16,LA,MIN,0.7204,340.0,-450.0,False,,,,0.0,,0,,
2023-06-20,LA,MIN,0.7012,-245.0,205.0,False,,,,0.0,,0,,
2023-06-23,LA,DAL,0.477,-120.0,100.0,False,,,,0.0,,1,,
2023-06-25,LA,DAL,0.4632,135.0,-155.0,False,,,,0.0,,1,,
2023-07-05,LA,ATL,0.6624,-115.0,-105.0,False,,,,0.0,,0,,
2023-07-12,LA,LA,0.4398,1600.0,-20000.0,False,,,,0.0,,0,,
2023-07-25,LA,IND,0.545,-155.0,135.0,False,,,,0.0,,1,,
2023-07-27,LA,IND,0.6217,-160.0,130.0,False,,,,0.0,,1,,
2023-07-30,LA,NYL,0.3943,410.0,-520.0,False,,,,0.0,,0,,
2023-08-01,LA,NYL,0.3181,390.0,-520.0,False,,,,0.0,,0,,
2023-08-12,LA,ATL,0.6223,-115.0,-105.0,False,,,,0.0,,1,,
2023-08-23,LA,PHO,0.7545,-440.0,340.0,False,,,,0.0,,1,,
2023-08-29,LA,CHI,0.6232,135.0,-180.0,False,,,,0.0,,0,,
2023-08-31,LA,SEA,0.7039,-250.0,205.0,False,,,,0.0,,0,,
2023-09-03,LA,WAS,0.6765,-1428.0,600.0,False,,,,0.0,,1,,
2023-05-27,LA,LA,0.944,-20000.0,2200.0,False,,,,0.0,,1,,
2023-05-28,LA,MIN,0.8869,-20000.0,1600.0,False,,,,0.0,,1,,
2023-06-15,LA,SEA,0.9004,-2800.0,1300.0,False,,,,0.0,,1,,
2023-06-18,LA,MIN,0.8886,-1500.0,900.0,False,,,,0.0,,1,,
2023-06-24,LA,IND,0.8832,-1500.0,900.0,False,,,,0.0,,1,,
2023-06-26,LA,IND,0.9034,-1400.0,850.0,False,,,,0.0,,1,,
2023-06-29,LA,NYL,0.5742,-275.0,230.0,False,,,,0.0,,1,,
2023-07-01,LA,CON,0.5893,-900.0,570.0,False,,,,0.0,,1,,
